_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Model_Result,Final_Result,anomaly_score,Suspicious_Flag
2,108,1,1750238321008,8,1750496101867.0,257780859.0,True,-1,0,0,0,2,0,2,139.0,0,79,79,356,1,1750245521008.0,244,1,93543,8,False,0,109,11,14,False,94710.0,0,Anomaly,Anomaly,0.12288319402100012,Suspicious
4,116,3,1750246540828,-1,,,False,0,0,0,0,2,0,2,139.0,0,-1,-1,-1,-1,,456,1,0,-1,False,0,413,-1,25,False,,0,Anomaly,Anomaly,0.12303348784634238,Suspicious
20,41,19,1750660202519,11,1750660653626.0,451107.0,True,-1,0,0,0,2,0,0,137.0,0,369,369,200,14,1750667402519.0,15,1,117510,3,True,0,229,4,8,False,117320.0,0,Anomaly,Anomaly,0.11793750359280752,Suspicious
21,41,20,1750660676249,12,1750661076262.0,400013.0,True,-1,0,0,0,2,0,0,137.0,0,367,367,57,15,1750667876249.0,12,1,117510,3,True,0,230,4,8,False,117320.0,0,Anomaly,Anomaly,0.11772053619357603,Suspicious
29,94,28,1750829047538,17,1750833569062.0,4521524.0,True,-1,1,0,0,0,0,1,137.0,0,170,170,350,21,1750836247538.0,470,1,3612,33,True,0,380,61,51,False,4779.0,0,Anomaly,Anomaly,0.04932968802663984,Suspicious
35,32,34,1750834280071,89,1751209034767.0,374754696.0,True,-1,0,0,0,2,0,0,137.0,0,159,159,1,27,1750841480071.0,482,1,3612,33,False,0,383,61,51,False,4779.0,0,Anomaly,Anomaly,0.11267303122867278,Suspicious
65,0,64,1750928264861,-1,,,False,2,0,0,0,2,0,2,139.0,0,-1,-1,-1,-1,,307,1,0,-1,False,0,413,-1,64,False,,0,Anomaly,Anomaly,0.13029728507918914,Suspicious
93,21,92,1750938017616,55,1750938919007.0,901391.0,True,-1,0,0,0,2,0,2,139.0,0,398,398,231,64,1750945217616.0,509,1,999999,22,True,0,30,45,30,False,999999.0,0,Anomaly,Anomaly,0.09763956306222055,Suspicious
92,21,91,1750937978821,53,1750938017616.0,38795.0,True,-1,0,0,0,2,0,2,139.0,0,390,390,106,63,1750945178821.0,26,1,999999,22,True,0,29,45,30,False,999999.0,0,Anomaly,Anomaly,0.10053858006802374,Suspicious
94,21,93,1750938919007,56,1750941494606.0,2575599.0,True,-1,0,0,0,2,0,2,139.0,0,408,408,354,65,1750946119007.0,512,1,999999,22,True,0,1,44,30,False,999999.0,0,Anomaly,Anomaly,0.0886752123338922,Suspicious
81,93,80,1750932408264,64,1751007105679.0,74697415.0,True,-1,1,0,0,0,0,1,137.0,0,306,306,130,55,1750939608264.0,442,1,106293,14,False,0,158,24,26,False,106161.0,0,Anomaly,Anomaly,0.1023963326312245,Suspicious
193,21,192,1751354492251,135,1751355168312.0,676061.0,True,-1,0,0,0,2,0,2,140.0,0,411,411,395,144,1751361692251.0,28,1,999999,22,True,0,0,43,30,False,999999.0,0,Anomaly,Anomaly,0.11398952698136389,Suspicious
286,48,285,1751626374063,-1,,,False,0,0,0,0,2,0,3,138.0,0,-1,-1,-1,-1,,73,1,0,-1,False,0,413,-1,11,False,,0,Anomaly,Anomaly,0.1293434421367895,Suspicious
288,48,287,1751626411145,-1,,,False,0,0,0,0,2,0,3,138.0,0,-1,-1,-1,-1,,72,1,0,-1,False,0,413,-1,11,False,,0,Anomaly,Anomaly,0.1293434421367895,Suspicious
386,38,385,1751959640757,-1,,,False,3,0,0,0,2,0,0,137.0,0,-1,-1,-1,-1,,190,1,117896,44,False,0,413,-1,65,False,117685.0,0,Anomaly,Anomaly,0.12692656775886924,Suspicious
387,38,386,1751959729342,-1,,,False,3,0,0,0,2,0,0,137.0,0,-1,-1,-1,-1,,187,1,117896,44,False,0,413,-1,65,False,117685.0,0,Anomaly,Anomaly,0.12671356814968315,Suspicious
