_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Model_Result,Final_Result,anomaly_score
1,53,0,1750184085944,0,1750184247794.0,161850.0,True,-1,0,0,0,2,0,0,137.0,0,124,124,251,0,1750187685944.0,368,1,1424,2,True,0,31,2,7,False,705.0,0,Anomaly,Anomaly,0.07420471012616758
2,108,1,1750238321008,8,1750496101867.0,257780859.0,True,-1,0,0,0,2,0,2,139.0,0,79,79,356,1,1750245521008.0,244,1,93543,8,False,0,109,11,14,False,94710.0,0,Anomaly,Anomaly,0.10982853725030284
204,21,203,1751359614861,153,1751366109440.0,6494579.0,True,-1,0,0,0,2,0,2,140.0,0,391,391,132,155,1751366814861.0,21,1,999999,22,True,0,6,38,30,False,999999.0,0,Anomaly,Anomaly,0.12410340281247517
17,102,16,1750496101867,29,1750920811701.0,424709834.0,True,-1,0,0,0,2,0,2,139.0,0,80,80,378,11,1750503301867.0,252,1,93543,8,False,0,110,11,14,False,94710.0,0,Anomaly,Anomaly,0.12199802017124817
20,41,19,1750660202519,11,1750660653626.0,451107.0,True,-1,0,0,0,2,0,0,137.0,0,369,369,200,14,1750667402519.0,15,1,117510,3,True,0,229,4,8,False,117320.0,0,Anomaly,Anomaly,0.12120474616029842
21,41,20,1750660676249,12,1750661076262.0,400013.0,True,-1,0,0,0,2,0,0,137.0,0,367,367,57,15,1750667876249.0,12,1,117510,3,True,0,230,4,8,False,117320.0,0,Anomaly,Anomaly,0.11398131699766334
29,94,28,1750829047538,17,1750833569062.0,4521524.0,True,-1,1,0,0,0,0,1,137.0,0,170,170,350,21,1750836247538.0,470,1,3612,33,True,0,380,61,51,False,4779.0,0,Anomaly,Anomaly,0.06007403371008957
46,92,45,1750854273116,27,1750863867767.0,9594651.0,True,-1,1,0,0,0,0,1,137.0,0,297,297,73,33,1750861473116.0,447,1,106293,14,False,0,156,24,26,False,106161.0,0,Anomaly,Anomaly,0.09547609983854344
93,21,92,1750938017616,55,1750938919007.0,901391.0,True,-1,0,0,0,2,0,2,139.0,0,398,398,231,64,1750945217616.0,509,1,999999,22,True,0,30,45,30,False,999999.0,0,Anomaly,Anomaly,0.09831256130785337
92,21,91,1750937978821,53,1750938017616.0,38795.0,True,-1,0,0,0,2,0,2,139.0,0,390,390,106,63,1750945178821.0,26,1,999999,22,True,0,29,45,30,False,999999.0,0,Anomaly,Anomaly,0.093997569338376
94,21,93,1750938919007,56,1750941494606.0,2575599.0,True,-1,0,0,0,2,0,2,139.0,0,408,408,354,65,1750946119007.0,512,1,999999,22,True,0,1,44,30,False,999999.0,0,Anomaly,Anomaly,0.08105394605444927
96,17,95,1750941494606,57,1750941643245.0,148639.0,True,-1,0,0,0,1,4,0,137.0,0,388,388,70,67,1750948694606.0,489,1,999999,22,True,0,2,44,30,False,999999.0,0,Anomaly,Anomaly,0.01963590410511551
169,15,168,1751280568164,132,1751354492251.0,73924087.0,True,-1,0,0,0,2,0,0,137.0,0,387,387,60,127,1751287768164.0,10,1,999999,22,False,0,5,44,30,False,999999.0,0,Anomaly,Anomaly,0.09916318649812161
81,93,80,1750932408264,64,1751007105679.0,74697415.0,True,-1,1,0,0,0,0,1,137.0,0,306,306,130,55,1750939608264.0,442,1,106293,14,False,0,158,24,26,False,106161.0,0,Anomaly,Anomaly,0.09992966310269646
193,21,192,1751354492251,135,1751355168312.0,676061.0,True,-1,0,0,0,2,0,2,140.0,0,411,411,395,144,1751361692251.0,28,1,999999,22,True,0,0,43,30,False,999999.0,0,Anomaly,Anomaly,0.1031651473486882
216,21,215,1751366626859,157,1751368350876.0,1724017.0,True,-1,0,0,0,2,0,2,140.0,0,396,396,218,165,1751373826859.0,19,1,999999,22,True,0,17,41,30,False,999999.0,0,Anomaly,Anomaly,0.12686151123371425
132,21,131,1751027021199,86,1751027387615.0,366416.0,True,-1,0,0,0,2,0,2,140.0,0,401,401,249,94,1751034221199.0,30,1,999999,22,True,0,3,44,30,False,999999.0,0,Anomaly,Anomaly,0.10163467973806983
149,21,148,1751272599567,117,1751280568164.0,7968597.0,True,-1,0,0,0,2,0,2,140.0,0,399,399,238,107,1751279799567.0,36,1,999999,22,False,0,4,44,30,False,999999.0,0,Anomaly,Anomaly,0.1129778550814613
218,4,217,1751374404398,158,1751374519192.0,114794.0,True,-1,0,0,0,2,0,0,138.0,0,384,384,36,167,1751381604398.0,13,1,999999,22,True,0,18,41,30,False,999999.0,0,Anomaly,Anomaly,0.10151180335337395
219,124,218,1751377484580,159,1751390779212.0,13294632.0,True,-1,1,0,0,0,0,1,137.0,0,318,318,298,168,1751384684580.0,443,1,106293,14,False,0,166,24,26,False,106161.0,0,Anomaly,Anomaly,0.10971356869251792
220,124,219,1751390779212,160,1751426920901.0,36141689.0,True,-1,1,0,0,0,0,1,137.0,0,295,295,42,169,1751397979212.0,445,1,106293,14,False,0,167,24,26,False,106161.0,0,Anomaly,Anomaly,0.11433167613320239
350,55,349,1751717760629,-1,,7200000.0,True,-1,1,0,0,0,0,1,137.0,0,277,277,5,287,1751724960629.0,114,1,104807,28,False,0,131,54,41,False,105974.0,0,Anomaly,Anomaly,0.08866458275920686
238,26,237,1751440898325,175,1751441457699.0,559374.0,True,-1,0,0,0,2,2,2,115.0,0,337,337,268,185,1751448098325.0,168,1,106897,7,True,0,198,10,13,False,106765.0,0,Anomaly,Anomaly,0.08289007208907717
