_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Cluster,anomaly_score,Model_Result,Final_Result,Suspicious_Flag
204,21,203,1751359614861,153,1751366109440.0,6494579.0,True,-1,0,0,0,2,0,2,140.0,0,391,391,132,155,1751366814861.0,21,1,999999,22,True,0,6,38,30,False,999999.0,0,1,6.24686336652256,Anomaly,Anomaly,Suspicious
17,102,16,1750496101867,29,1750920811701.0,424709834.0,True,-1,0,0,0,2,0,2,139.0,0,80,80,378,11,1750503301867.0,252,1,93543,8,False,0,110,11,14,False,94710.0,0,1,5.251408226549428,Anomaly,Anomaly,Suspicious
329,21,328,1751708818496,257,1751708935761.0,117265.0,True,-1,0,0,0,2,0,2,140.0,0,392,392,166,270,1751716018496.0,513,1,999999,22,True,0,26,42,30,False,999999.0,0,1,6.216210108150818,Anomaly,Anomaly,Suspicious
46,92,45,1750854273116,27,1750863867767.0,9594651.0,True,-1,1,0,0,0,0,1,137.0,0,297,297,73,33,1750861473116.0,447,1,106293,14,False,0,156,24,26,False,106161.0,0,1,7.584377699910251,Anomaly,Anomaly,Suspicious
90,58,89,1750936956881,52,1750937931781.0,974900.0,True,-1,0,0,0,2,1,2,115.0,0,30,30,167,61,1750944156881.0,285,1,85116,11,True,0,355,21,19,False,86283.0,0,1,6.179092002259408,Anomaly,Anomaly,Suspicious
92,21,91,1750937978821,53,1750938017616.0,38795.0,True,-1,0,0,0,2,0,2,139.0,0,390,390,106,63,1750945178821.0,26,1,999999,22,True,0,29,45,30,False,999999.0,0,1,6.56635877077038,Anomaly,Anomaly,Suspicious
94,21,93,1750938919007,56,1750941494606.0,2575599.0,True,-1,0,0,0,2,0,2,139.0,0,408,408,354,65,1750946119007.0,512,1,999999,22,True,0,1,44,30,False,999999.0,0,1,6.706154873856649,Anomaly,Anomaly,Suspicious
96,17,95,1750941494606,57,1750941643245.0,148639.0,True,-1,0,0,0,1,4,0,137.0,0,388,388,70,67,1750948694606.0,489,1,999999,22,True,0,2,44,30,False,999999.0,0,1,8.412663233490205,Anomaly,Anomaly,Suspicious
169,15,168,1751280568164,132,1751354492251.0,73924087.0,True,-1,0,0,0,2,0,0,137.0,0,387,387,60,127,1751287768164.0,10,1,999999,22,False,0,5,44,30,False,999999.0,0,1,6.497145920490565,Anomaly,Anomaly,Suspicious
147,57,146,1751270615656,95,1751271252941.0,637285.0,True,-1,0,0,0,2,1,2,115.0,0,36,36,293,105,1751277815656.0,284,1,85116,11,True,0,356,21,19,False,86283.0,0,1,5.951812025454575,Anomaly,Anomaly,Suspicious
